Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2021,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,290264,96571,96754.6666666667,0.956237900931082,0.000218301916314242,0.955990869057591,0.956484932804574,0.000126036670148639
2022,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,292835,97438,97611.6666666667,0.956839409758762,0.000187254124910513,0.956627511768691,0.957051307748833,0.000108111219423952
2023,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,296704,98654,98901.3333333333,0.960030141097196,0.000562419754980274,0.959393703231202,0.960666578963189,0.000324713196935424
2023,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,12353,4082,4117.66666666667,0.0399698589028043,0.000562419754980272,0.0393334210368108,0.0406062967687977,0.000324713196935423
2019,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,16191,5392,5397,0.053961548016737,5.29995520370343e-05,0.0539015733776914,0.0540215226557826,3.05993056355113e-05
2021,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,13284,4395,4428,0.0437620990689176,0.000218301916314276,0.0435150671954263,0.044009130942409,0.000126036670148658
2022,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,13209,4388,4403,0.043160590241238,0.000187254124910496,0.0429486922511671,0.043372488231309,0.000108111219423942
2020,Baseline,Income,Financial distress flag,Financially distressed,Overall,Overall,share,3,13819,4560,4606.33333333333,0.0456104445650674,0.000407382717487576,0.0451494476227222,0.0460714415074125,0.000235202521604653
2019,Baseline,Health,Self-Rated Health,VeryGood,Overall,Overall,share,3,135344,45108,45114.6666666667,0.451075997038194,5.91729653036859e-05,0.451009036524398,0.45114295755199,3.41635274468314e-05
2019,Baseline,Health,Self-Rated Health,Excellent,Overall,Overall,share,3,32211,10734,10737,0.107353180452461,2.37582112192971e-05,0.107326295505561,0.107380065399361,1.37168096429252e-05
2019,Baseline,Health,Self-Rated Health,Good,Overall,Overall,share,3,82591,27511,27530.3333333333,0.275260202504856,0.000154056063207214,0.275085871658112,0.275434533351599,8.89443095629792e-05
2020,Baseline,Health,Self-Rated Health,VeryGood,Overall,Overall,share,3,131419,43597,43806.3333333333,0.433761217700109,0.00127121734331434,0.432322699856402,0.435199735543817,0.000733937675361054
2020,Baseline,Health,Self-Rated Health,Good,Overall,Overall,share,3,85588,28438,28529.3333333333,0.282490945098457,0.00104336661391383,0.28131026462746,0.283671625569454,0.00060238799540662
2021,Baseline,Health,Self-Rated Health,VeryGood,Overall,Overall,share,3,123975,40966,41325,0.408414024763205,0.00358581415893571,0.404356294054151,0.412471755472258,0.0020702707699255
2022,Baseline,Health,Self-Rated Health,VeryGood,Overall,Overall,share,3,117299,38874,39099.6666666667,0.383274383060586,0.00213905209688676,0.380853817744848,0.385694948376325,0.0012349823039482
2022,Baseline,Health,Self-Rated Health,Good,Overall,Overall,share,3,91848,30290,30616,0.30011198143955,0.00269567731122436,0.297061535397834,0.303162427481266,0.00155635002128375
2023,Baseline,Health,Self-Rated Health,Good,Overall,Overall,share,3,94328,31053,31442.6666666667,0.305208784144722,0.00294733508521952,0.301873560523228,0.308544007766215,0.00170164470484352
2023,Baseline,Health,Self-Rated Health,Excellent,Overall,Overall,share,3,27086,8912,9028.66666666667,0.0876422809260962,0.00114535071910786,0.0863461945759491,0.0889383672762434,0.000661268545993453
2019,Baseline,Health,Self-Rated Health,Fair,Overall,Overall,share,3,36718,12226,12239.3333333333,0.122374167163721,0.000147596545270896,0.122207145949639,0.122541188377802,8.52149051436105e-05
2020,Baseline,Health,Self-Rated Health,Fair,Overall,Overall,share,3,40191,13276,13397,0.132656757643498,0.00156483883132001,0.130885975807316,0.13442753947968,0.000903460120500989
