Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2021,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,85360,27847,28453.3333333333,0.28143658123205,0.00611584277816286,0.274515853622434,0.288357308841666,0.00353098347429376
2022,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,84015,27270,28005,0.274587926498657,0.00754413547791283,0.266050933546664,0.28312491945065,0.00435560864897598
2022,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,54644,17588,18214.6666666667,0.178591976033087,0.00574767267021706,0.172087872120894,0.185096079945279,0.00331842036336368
2023,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,82585,26688,27528.3333333333,0.267317191803502,0.00955156482878718,0.25650857869434,0.278125804912664,0.00551459852508244
2023,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,40254,13263,13418,0.130297222421661,0.0015674579332722,0.128523476792613,0.132070968050708,0.00090497225971812
2019,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,169151,56373,56383.6666666667,0.563748353934263,0.000180229629342705,0.56354440490923,0.563952302959296,0.000104055625016957
2019,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,130896,43608,43632,0.436251646065737,0.000180229629342705,0.436047697040704,0.43645559509077,0.000104055625016957
2020,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,152705,50853,50901.6666666667,0.504398142449068,0.000189007485935067,0.504184260344217,0.50461202455392,0.000109123522883465
2020,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,150042,49934,50014,0.495601857550932,0.000189007485935074,0.49538797544608,0.495815739655784,0.000109123522883469
2021,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,152418,50674,50806,0.502516837358931,0.000357463659260779,0.502112329148728,0.502921345569135,0.000206381739899719
2022,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,149686,49718,49895.3333333333,0.489217011411313,0.000878071937922994,0.488223379474647,0.49021064334798,0.000506955069727697
2023,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,144204,47872,48068,0.46676170161829,0.000580396166983345,0.466104921527131,0.467418481709449,0.000335091883244461
2021,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,150891,50246,50297,0.497483162641069,0.000357463659260793,0.497078654430865,0.497887670851272,0.000206381739899727
2022,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,156284,52075,52094.6666666667,0.510782988588687,0.000878071937923019,0.50978935665202,0.511776620525353,0.000506955069727711
2023,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,164741,54828,54913.6666666667,0.53323829838171,0.00058039616698337,0.532581518290551,0.533895078472869,0.000335091883244476
2019,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,136922,45636,45640.6666666667,0.456335174682426,5.50434225213522e-05,0.456272887186199,0.456397462178653,3.1779334809821e-05
2019,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,71493,23828,23831,0.238272670185948,1.18967114435377e-05,0.238259207789621,0.238286132582274,6.86856955439782e-06
2020,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,72653,24114,24217.6666666667,0.239979704468678,0.00102181934221422,0.238823407030989,0.241136001906368,0.000589947672290547
2020,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,137564,45562,45854.6666666667,0.454388947622661,0.00420916157738104,0.449625832905924,0.459152062339398,0.00243016056976357
2021,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,145263,48187,48421,0.478932583598439,0.00386460529761162,0.474559371017019,0.483305796179859,0.00223123090888772
2022,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,149698,49693,49899.3333333333,0.489260870586586,0.00369266684092833,0.485082224685096,0.493439516488075,0.00213196219463757
